行,C NO.,ON,OFF,MA,IP,SV,UP,DN,JS,JM,S,OC,HP,PP,C,PL,V,AL,L,LD,底部余量,侧面余量,AJC,加工速度,定时,定时时间,粗糙度,材料,面积,形状,重视,Ra,切入
8,3,8,12,0,8,100,12,6,50,00,82,0,0,0,0,+,21,15,3,2,0.038,0.027,24,0,T,,0.12,1,23,1,1,0.63,0
9,2,6,12,0,5,100,7,7,25,00,83,0,0,10,0,+,22,15,3,2,0.027,0.0181,24,0,T,,0.8,1,23,1,1,0.63,0
10,801,1,9,0,15,110,7,12,25,00,73,0,0,10,3,-,32,30,3,5,0.01,0.027,24,1.31,Z,843,0.63,1,23,1,1,0.63,0
11,801,1,9,0,15,110,7,12,25,00,73,0,0,10,3,-,32,30,3,5,0.03,0.012,24,1.31,Z,144,0.63,1,23,1,1,0.63,0
1,9,700,160,0,313,40,10,7,75,03,22,0,0,11,0,+,22,10,2,2,0.592,0.5,24,0,T,,0,1,23,1,1,0.8,0
2,8,300,55,0,135,50,11,6,75,03,22,0,0,1,0,+,21,10,2,2,0.299,0.2482,24,0,T,,0,1,23,1,1,0.8,0
3,7,200,40,0,85,50,12,6,75,03,22,0,0,1,0,+,21,10,2,2,0.205,0.1701,24,0,T,,0,1,23,1,1,0.8,0
4,6,140,40,0,53,60,12,6,75,03,32,0,40,0,0,+,21,15,2,2,0.15,0.123,24,0,T,,0,1,23,1,1,0.8,0
5,5,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,21,15,2,2,0.107,0.0835,24,0,T,,0,1,23,1,1,0.8,0
6,4,40,25,0,23,85,12,6,75,03,52,0,40,0,0,+,21,15,2,2,0.072,0.0547,24,0,T,,4,1,23,1,1,0.8,0
7,3,12,14,0,15,100,10,6,50,00,72,0,40,0,0,+,21,15,2,2,0.047,0.0353,24,0,T,,2,1,23,1,1,0.8,0
8,2,8,12,0,8,100,12,6,50,00,82,0,0,0,0,+,21,15,3,2,0.033,0.0234,24,0,T,,1.12,1,23,1,1,0.8,0
9,1,7,9,0,5,105,6,6,25,00,73,0,0,10,0,+,32,15,3,2,0.017,0.012,24,0,T,,0.8,1,23,1,1,0.8,0
1,8,750,160,0,318,40,10,7,75,03,22,0,0,11,0,+,22,10,2,2,0.597,0.5,24,0,T,,0,1,23,1,1,1.12,0
2,7,300,55,0,135,50,11,6,75,03,22,0,0,1,0,+,21,10,2,2,0.294,0.244,24,0,T,,0,1,23,1,1,1.12,0
3,6,200,40,0,85,50,12,6,75,03,22,0,0,1,0,+,21,10,2,2,0.2,0.166,24,0,T,,0,1,23,1,1,1.12,0
4,5,140,40,0,53,60,12,6,75,03,32,0,40,0,0,+,21,15,2,2,0.145,0.1189,24,0,T,,0,1,23,1,1,1.12,0
5,4,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,21,15,2,2,0.102,0.0796,24,0,T,,0,1,23,1,1,1.12,0
6,3,40,25,0,23,85,12,6,75,03,52,0,40,0,0,+,21,15,2,2,0.067,0.0509,24,0,T,,4,1,23,1,1,1.12,0
7,2,12,14,0,15,100,10,6,50,00,72,0,40,0,0,+,21,15,2,2,0.042,0.0315,24,0,T,,2,1,23,1,1,1.12,0
8,1,7,9,0,10,85,6,6,25,00,73,0,40,0,0,+,22,15,3,2,0.03,0.017,24,0,T,,1.12,1,23,1,1,1.12,0
1,7,750,160,0,318,40,10,7,75,03,22,0,0,11,0,+,22,10,2,2,0.594,0.5,24,0,T,,0,1,23,1,1,1.6,0
2,6,300,55,0,135,50,11,6,75,03,22,0,0,1,0,+,21,10,2,2,0.291,0.2415,24,0,T,,0,1,23,1,1,1.6,0
3,5,200,40,0,85,50,12,6,75,03,22,0,0,1,0,+,21,10,2,2,0.197,0.1635,24,0,T,,0,1,23,1,1,1.6,0
4,4,140,40,0,53,60,12,6,75,03,32,0,40,0,0,+,21,15,2,2,0.142,0.1164,24,0,T,,0,1,23,1,1,1.6,0
5,3,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,21,15,2,2,0.099,0.0772,24,0,T,,0,1,23,1,1,1.6,0
6,2,40,25,0,23,85,12,6,75,03,52,0,40,0,0,+,21,15,2,2,0.064,0.0486,24,0,T,,4,1,23,1,1,1.6,0
7,1,7,9,0,15,80,10,6,50,00,63,0,40,0,0,+,22,18,3,2,0.044,0.027,24,0,T,,1.6,1,23,1,1,1.6,0
1,7,750,160,0,318,40,10,7,75,03,22,0,0,11,0,+,22,10,2,2,0.594,0.5,24,0,T,,0,1,23,1,1,2,0
2,6,300,55,0,135,50,11,6,75,03,22,0,0,1,0,+,21,10,2,2,0.291,0.2415,24,0,T,,0,1,23,1,1,2,0
3,5,200,40,0,85,50,12,6,75,03,22,0,0,1,0,+,21,10,2,2,0.197,0.1635,24,0,T,,0,1,23,1,1,2,0
4,4,140,40,0,53,60,12,6,75,03,32,0,40,0,0,+,21,15,2,2,0.142,0.1164,24,0,T,,0,1,23,1,1,2,0
5,3,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,21,15,2,2,0.099,0.0772,24,0,T,,0,1,23,1,1,2,0
6,2,40,25,0,23,85,12,6,75,03,52,0,40,0,0,+,21,15,2,2,0.064,0.0486,24,0,T,,4,1,23,1,1,2,0
7,1,10,9,0,15,80,10,6,50,00,63,0,40,0,0,+,22,18,3,2,0.044,0.027,24,0,T,,2,1,23,1,1,2,0
1,6,750,160,0,318,40,10,7,75,03,22,0,0,11,0,+,22,10,2,2,0.589,0.5,24,0,T,,0,1,23,1,1,2.8,0
2,5,300,55,0,135,50,11,6,75,03,22,0,0,1,0,+,21,10,2,2,0.286,0.2374,24,0,T,,0,1,23,1,1,2.8,0
3,4,200,40,0,85,50,12,6,75,03,22,0,0,1,0,+,21,10,2,2,0.192,0.1594,24,0,T,,0,1,23,1,1,2.8,0
4,3,140,40,0,53,60,12,6,75,03,32,0,40,0,0,+,21,15,2,2,0.137,0.1123,24,0,T,,0,1,23,1,1,2.8,0
5,2,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,21,15,2,2,0.094,0.0733,24,0,T,,0,1,23,1,1,2.8,0
6,1,40,20,0,20,80,10,6,50,03,52,0,40,0,0,+,22,18,3,2,0.06,0.037,24,0,T,,2.8,1,23,1,1,2.8,0
1,6,750,160,0,318,40,10,7,75,03,22,0,0,11,0,+,22,10,2,2,0.589,0.5,24,0,T,,0,1,23,1,1,4,0
2,5,300,55,0,135,50,11,6,75,03,22,0,0,1,0,+,21,10,2,2,0.286,0.2374,24,0,T,,0,1,23,1,1,4,0
3,4,200,40,0,85,50,12,6,75,03,22,0,0,1,0,+,21,10,2,2,0.192,0.1594,24,0,T,,0,1,23,1,1,4,0
4,3,140,40,0,53,60,12,6,75,03,32,0,40,0,0,+,21,15,2,2,0.137,0.1123,24,0,T,,0,1,23,1,1,4,0
5,2,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,21,15,2,2,0.094,0.0733,24,0,T,,0,1,23,1,1,4,0
6,1,90,30,0,25,80,10,6,50,03,42,0,40,0,0,+,22,18,2,2,0.073,0.052,24,0,T,,4,1,23,1,1,4,0
2,12,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.304,0.2554,24,0,T,,0,1,28,1,1,0.1,0
3,11,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.21,0.1764,24,0,T,,0,1,28,1,1,0.1,0
4,10,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.155,0.1286,24,0,T,,0,1,28,1,1,0.1,0
5,9,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.112,0.0896,24,0,T,,4,1,28,1,1,0.1,0
6,8,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.077,0.0608,24,0,T,,3.2,1,28,1,1,0.1,0
7,7,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.052,0.0411,24,0,T,,2,1,28,1,1,0.1,0
8,6,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.038,0.0289,24,0,T,,1.12,1,28,1,1,0.1,0
9,5,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.027,0.02,24,0,T,,0.8,1,28,1,1,0.1,0
10,804,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.009,0.025,24,1.2,Z,1230,0.63,1,28,1,1,0.1,0
11,804,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.029,0.0099,24,0.96,Z,135,0.63,1,28,1,1,0.1,0
12,803,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.005,0.021,24,1.5,Z,1537,0.5,1,28,1,1,0.1,0
13,803,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.025,0.006,24,1.2,Z,200,0.5,1,28,1,1,0.1,0
14,802,0,3,0,5,90,15,30,50,00,86,0,40,10,0,-,31,48,3,2,-0.002,0.018,24,2.15,Z,2223,0.32,1,28,1,1,0.1,0
15,802,0,3,0,5,90,15,30,50,00,86,0,40,10,0,-,31,48,3,2,0.018,0.0031,24,1.72,Z,252,0.32,1,28,1,1,0.1,0
16,801,0,3,0,5,90,15,33,50,00,86,0,40,10,0,-,32,48,3,2,-0.002,0.018,24,1,Z,1025,0.1,1,28,1,1,0.1,0
17,801,0,3,0,5,90,15,33,50,00,86,0,40,10,0,-,32,48,3,2,0.018,0.003,24,0.8,Z,120,0.1,1,28,1,1,0.1,0
2,11,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.304,0.2554,24,0,T,,0,1,28,1,1,0.32,0
3,10,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.21,0.1764,24,0,T,,0,1,28,1,1,0.32,0
4,9,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.155,0.1286,24,0,T,,0,1,28,1,1,0.32,0
5,8,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.112,0.0896,24,0,T,,4,1,28,1,1,0.32,0
6,7,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.077,0.0608,24,0,T,,3.2,1,28,1,1,0.32,0
7,6,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.052,0.0411,24,0,T,,2,1,28,1,1,0.32,0
8,5,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.038,0.0289,24,0,T,,1.12,1,28,1,1,0.32,0
9,4,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.027,0.02,24,0,T,,0.8,1,28,1,1,0.32,0
10,803,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.009,0.025,24,1.2,Z,1230,0.63,1,28,1,1,0.32,0
11,803,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.029,0.0099,24,0.96,Z,135,0.63,1,28,1,1,0.32,0
12,802,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.005,0.021,24,1.5,Z,1537,0.5,1,28,1,1,0.32,0
13,802,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.025,0.006,24,1.2,Z,200,0.5,1,28,1,1,0.32,0
14,801,1,9,0,8,110,8,16,25,00,73,0,40,10,1,-,32,30,3,2,0.001,0.02,24,2.15,Z,2223,0.32,1,28,1,1,0.32,0
15,801,1,9,0,8,110,8,16,25,00,73,0,40,10,1,-,32,30,3,2,0.021,0.005,24,1.72,Z,252,0.32,1,28,1,1,0.32,0
2,10,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.303,0.2545,24,0,T,,0,1,28,1,1,0.5,0
3,9,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.209,0.1756,24,0,T,,0,1,28,1,1,0.5,0
4,8,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.154,0.1278,24,0,T,,0,1,28,1,1,0.5,0
5,7,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.111,0.0888,24,0,T,,4,1,28,1,1,0.5,0
6,6,40,20,0,23,90,10,6,50,03,32,0,40,0,O,+,31,15,2,2,0.076,0.06,24,0,T,,3.2,1,28,1,1,0.5,0
7,5,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.051,0.0403,24,0,T,,2,1,28,1,1,0.5,0
8,4,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.037,0.0281,24,0,T,,1.12,1,28,1,1,0.5,0
9,3,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.026,0.0192,24,0,T,,0.8,1,28,1,1,0.5,0
10,802,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.008,0.0222,24,1.2,Z,1230,0.63,1,28,1,1,0.5,0
11,802,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.028,0.0095,24,0.96,Z,135,0.63,1,28,1,1,0.5,0
12,801,1,9,0,15,110,8,16,25,00,73,0,40,10,2,-,32,30,3,2,0.002,0.027,24,1.5,Z,1537,0.5,1,28,1,1,0.5,0
13,801,1,9,0,15,110,8,16,25,00,73,0,40,10,2,-,32,30,3,2,0.022,0.012,24,1.2,Z,200,0.5,1,28,1,1,0.5,0
2,9,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.301,0.2528,24,0,T,,0,1,28,1,1,0.63,0
3,8,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.207,0.1739,24,0,T,,0,1,28,1,1,0.63,0
4,7,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.152,0.1262,24,0,T,,0,1,28,1,1,0.63,0
5,6,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.109,0.0872,24,0,T,,4,1,28,1,1,0.63,0
6,5,40,20,0,23,90,10,6,50,03,32,0,40,0,O,+,31,15,2,2,0.074,0.0585,24,0,T,,3.2,1,28,1,1,0.63,0
7,4,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.049,0.0387,24,0,T,,2,1,28,1,1,0.63,0
8,3,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.035,0.0266,24,0,T,,1.12,1,28,1,1,0.63,0
9,2,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.024,0.0178,24,0,T,,0.8,1,28,1,1,0.63,0
10,801,1,9,0,15,110,7,16,25,00,73,0,0,10,3,-,32,30,3,2,0.004,0.027,24,1.2,Z,1230,0.63,1,28,1,1,0.63,0
11,801,1,9,0,15,110,7,16,25,00,73,0,0,10,3,-,32,30,3,2,0.024,0.012,24,0.96,Z,135,0.63,1,28,1,1,0.63,0
2,8,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.296,0.2486,24,0,T,,0,1,28,1,1,0.8,0
3,7,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.202,0.1697,24,0,T,,0,1,28,1,1,0.8,0
4,6,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.147,0.122,24,0,T,,0,1,28,1,1,0.8,0
5,5,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.104,0.0832,24,0,T,,4,1,28,1,1,0.8,0
6,4,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.069,0.0545,24,0,T,,3.2,1,28,1,1,0.8,0
7,3,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.044,0.0348,24,0,T,,2,1,28,1,1,0.8,0
8,2,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.03,0.0228,24,0,T,,1.12,1,28,1,1,0.8,0
9,1,7,9,0,3,95,6,9,25,00,63,0,0,0,1,+,31,15,3,2,0.015,0.012,24,0,T,,0.8,1,28,1,1,0.8,0
2,7,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.291,0.244,24,0,T,,0,1,28,1,1,1.12,0
3,6,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.197,0.1655,24,0,T,,0,1,28,1,1,1.12,0
4,5,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.142,0.1179,24,0,T,,0,1,28,1,1,1.12,0
5,4,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.099,0.0792,24,0,T,,4,1,28,1,1,1.12,0
6,3,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.064,0.0506,24,0,T,,3.2,1,28,1,1,1.12,0
7,2,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.039,0.0308,24,0,T,,2,1,28,1,1,1.12,0
8,1,7,9,0,8,95,6,8,25,00,63,0,0,0,0,+,31,15,3,2,0.024,0.015,24,0,T,,1.12,1,28,1,1,1.12,0
2,6,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.288,0.2419,24,0,T,,0,1,28,1,1,1.6,0
3,5,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.194,0.163,24,0,T,,0,1,28,1,1,1.6,0
4,4,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.139,0.1154,24,0,T,,0,1,28,1,1,1.6,0
5,3,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.096,0.0768,24,0,T,,4,1,28,1,1,1.6,0
6,2,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.061,0.0482,24,0,T,,3.2,1,28,1,1,1.6,0
7,1,7,9,0,15,80,10,8,50,00,63,0,40,0,0,+,31,15,3,2,0.038,0.03,24,0,T,,1.6,1,28,1,1,1.6,0
2,6,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.288,0.2419,24,0,T,,0,1,28,1,1,2,0
3,5,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.194,0.163,24,0,T,,0,1,28,1,1,2,0
4,4,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.139,0.1154,24,0,T,,0,1,28,1,1,2,0
5,3,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.096,0.0768,24,0,T,,4,1,28,1,1,2,0
6,2,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.061,0.0482,24,0,T,,3.2,1,28,1,1,2,0
7,1,10,9,0,15,80,10,8,50,00,53,0,40,0,0,+,31,15,3,2,0.038,0.03,24,0,T,,2,1,28,1,1,2,0
2,5,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.283,0.2377,24,0,T,,0,1,28,1,1,3.2,0
3,4,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.189,0.1588,24,0,T,,0,1,28,1,1,3.2,0
4,3,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.134,0.1112,24,0,T,,0,1,28,1,1,3.2,0
5,2,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.091,0.0728,24,0,T,,4,1,28,1,1,3.2,0
6,1,40,20,0,23,80,10,8,50,00,52,0,40,0,0,+,31,15,3,2,0.051,0.031,24,0,T,,3.2,1,28,1,1,3.2,0
2,12,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.304,0.2554,24,0,T,,0,1,34,1,1,0.1,0
3,11,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.21,0.1764,24,0,T,,0,1,34,1,1,0.1,0
4,10,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.155,0.1286,24,0,T,,0,1,34,1,1,0.1,0
5,9,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.112,0.0896,24,0,T,,4,1,34,1,1,0.1,0
6,8,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.077,0.0608,24,0,T,,3.2,1,34,1,1,0.1,0
7,7,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.052,0.0411,24,0,T,,2,1,34,1,1,0.1,0
8,6,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.038,0.0289,24,0,T,,1.12,1,34,1,1,0.1,0
9,5,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.027,0.02,24,0,T,,0.8,1,34,1,1,0.1,0
10,804,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.009,0.025,24,1.2,Z,1800,0.63,1,34,1,1,0.1,0
11,804,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.029,0.0099,24,0.96,Z,155,0.63,1,34,1,1,0.1,0
12,803,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.005,0.021,24,1.5,Z,2230,0.5,1,34,1,1,0.1,0
13,803,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.025,0.006,24,1.2,Z,224,0.5,1,34,1,1,0.1,0
14,802,0,3,0,5,90,15,30,50,00,86,0,40,10,0,-,31,48,3,2,-0.002,0.018,24,2.15,Z,3215,0.32,1,34,1,1,0.1,0
15,802,0,3,0,5,90,15,30,50,00,86,0,40,10,0,-,31,48,3,2,0.018,0.0031,24,1.72,Z,326,0.32,1,34,1,1,0.1,0
16,801,0,3,0,5,90,15,33,50,00,86,0,40,10,0,-,32,48,3,2,-0.002,0.018,24,1,Z,1500,0.1,1,34,1,1,0.1,0
17,801,0,3,0,5,90,15,33,50,00,86,0,40,10,0,-,32,48,3,2,0.018,0.003,24,0.8,Z,136,0.1,1,34,1,1,0.1,0
2,11,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.304,0.2554,24,0,T,,0,1,34,1,1,0.32,0
3,10,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.21,0.1764,24,0,T,,0,1,34,1,1,0.32,0
4,9,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.155,0.1286,24,0,T,,0,1,34,1,1,0.32,0
5,8,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.112,0.0896,24,0,T,,4,1,34,1,1,0.32,0
6,7,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.077,0.0608,24,0,T,,3.2,1,34,1,1,0.32,0
7,6,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.052,0.0411,24,0,T,,2,1,34,1,1,0.32,0
8,5,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.038,0.0289,24,0,T,,1.12,1,34,1,1,0.32,0
9,4,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.027,0.02,24,0,T,,0.8,1,34,1,1,0.32,0
10,803,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.009,0.025,24,1.2,Z,1800,0.63,1,34,1,1,0.32,0
11,803,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.029,0.0099,24,0.96,Z,155,0.63,1,34,1,1,0.32,0
12,802,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.005,0.021,24,1.5,Z,2230,0.5,1,34,1,1,0.32,0
13,802,0,9,0,8,100,7,18,25,00,85,0,40,10,1,-,31,48,3,2,0.025,0.006,24,1.2,Z,224,0.5,1,34,1,1,0.32,0
14,801,1,9,0,8,110,8,16,25,00,73,0,40,10,1,-,32,30,3,2,0.001,0.02,24,2.15,Z,3215,0.32,1,34,1,1,0.32,0
15,801,1,9,0,8,110,8,16,25,00,73,0,40,10,1,-,32,30,3,2,0.021,0.005,24,1.72,Z,326,0.32,1,34,1,1,0.32,0
2,10,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.303,0.2545,24,0,T,,0,1,34,1,1,0.5,0
3,9,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.209,0.1756,24,0,T,,0,1,34,1,1,0.5,0
4,8,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.154,0.1278,24,0,T,,0,1,34,1,1,0.5,0
5,7,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.111,0.0888,24,0,T,,4,1,34,1,1,0.5,0
6,6,40,20,0,23,90,10,6,50,03,32,0,40,0,0,+,31,15,2,2,0.076,0.06,24,0,T,,3.2,1,34,1,1,0.5,0
7,5,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.051,0.0403,24,0,T,,2,1,34,1,1,0.5,0
8,4,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.037,0.0281,24,0,T,,1.12,1,34,1,1,0.5,0
9,3,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.026,0.0192,24,0,T,,0.8,1,34,1,1,0.5,0
10,802,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.008,0.0222,24,1.2,Z,1800,0.63,1,34,1,1,0.5,0
11,802,1,9,0,15,110,7,18,25,00,85,0,0,10,3,-,31,48,3,2,0.028,0.0095,24,0.96,Z,155,0.63,1,34,1,1,0.5,0
12,801,1,9,0,15,110,8,16,25,00,73,0,40,10,2,-,32,30,3,2,0.002,0.027,24,1.5,Z,2230,0.5,1,34,1,1,0.5,0
13,801,1,9,0,15,110,8,16,25,00,73,0,40,10,2,-,32,30,3,2,0.022,0.012,24,1.2,Z,224,0.5,1,34,1,1,0.5,0
2,9,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.301,0.2528,24,0,T,,0,1,34,1,1,0.63,0
3,8,200,40,0,85,50,12,8,75,03,22,0,0,1,0,+,21,10,2,2,0.207,0.1739,24,0,T,,0,1,34,1,1,0.63,0
4,7,140,40,0,53,60,12,8,75,03,32,0,40,0,0,+,31,15,2,2,0.152,0.1262,24,0,T,,0,1,34,1,1,0.63,0
5,6,70,25,0,33,70,12,6,75,03,42,0,40,0,0,+,31,15,2,2,0.109,0.0872,24,0,T,,4,1,34,1,1,0.63,0
6,5,40,20,0,23,90,10,6,50,03,32,0,40,0,O,+,31,15,2,2,0.074,0.0585,24,0,T,,3.2,1,34,1,1,0.63,0
7,4,10,10,0,15,110,11,6,50,00,52,0,40,0,0,+,31,15,2,2,0.049,0.0387,24,0,T,,2,1,34,1,1,0.63,0
8,3,7,9,0,8,110,11,6,50,00,62,0,0,0,0,+,31,15,3,2,0.035,0.0266,24,0,T,,1.12,1,34,1,1,0.63,0
9,2,7,9,0,5,105,7,8,25,00,75,0,0,0,0,+,31,15,3,2,0.024,0.0178,24,0,T,,0.8,1,34,1,1,0.63,0
10,801,1,9,0,15,110,7,16,25,00,73,0,0,10,3,-,32,30,3,2,0.004,0.027,24,1.2,Z,1800,0.63,1,34,1,1,0.63,0
11,801,1,9,0,15,110,7,16,25,00,73,0,0,10,3,-,32,30,3,2,0.024,0.012,24,0.96,Z,155,0.63,1,34,1,1,0.63,0
2,8,300,55,0,135,50,11,8,75,03,22,0,0,1,0,+,21,10,2,2,0.296,0.2486,24,0,T,,0,1,34,1,1,0.8,0
